Температура С,Эффективность %,Соленность г/л,Месторождение,соотношение
4.987387750983755, 59.19786096256685, 35, "Нагорн.(Башкир)", "1:20"
10.07617798405812, 60.96256684491979, 35, "Нагорн.(Башкир)", "1:20"
15.023963273130867, 62.5668449197861, 35, "Нагорн.(Башкир)", "1:20"
22.327464433457777, 65.05347593582889, 35, "Нагорн.(Башкир)", "1:20"
4.904153354632589, 68.27868852459017, 30, "Хохряковское", "1:10"
9.984025559105431, 69.91803278688525, 30, "Хохряковское", "1:10"
15.063897763578272, 71.22950819672133, 30, "Хохряковское", "1:10"
21.006389776357825, 72.29508196721312, 30, "Хохряковское", "1:10"
25.03194888178913, 72.86885245901641, 30, "Хохряковское", "1:10"
1.261980830670927, 67.13114754098362, 30, "Усинское", "1:10"
9.984025559105431, 71.47540983606558, 30, "Усинское", "1:10"
15.063897763578272, 74.01639344262296, 30, "Усинское", "1:10"
20.047923322683705, 76.31147540983608, 30, "Усинское", "1:10"
25.03194888178913, 79.34426229508198, 30, "Усинское", "1:10"
4.904153354632589, 66.22950819672133, 30, "Правдинское", "1:10"
9.984025559105431, 68.36065573770492, 30, "Правдинское", "1:10"
14.920127795527154, 70.40983606557378, 30, "Правдинское", "1:10"
20.047923322683705, 72.54098360655739, 30, "Правдинское", "1:10"
25.03194888178913, 75.00000000000001, 30, "Правдинское", "1:10"
0.8785942492012788, 61.9672131147541, 30, "Нагорн.(Турней)", "1:10"
5.095846645367413, 63.03278688524591, 30, "Нагорн.(Турней)", "1:10"
9.984025559105431, 64.8360655737705, 30, "Нагорн.(Турней)", "1:10"
14.968051118210862, 66.14754098360656, 30, "Нагорн.(Турней)", "1:10"
19.999999999999996, 68.27868852459017, 30, "Нагорн.(Турней)", "1:10"
0.7348242811501597, 56.9672131147541, 30, "Нагорн.(Башкир)", "1:10"
4.904153354632589, 58.688524590163944, 30, "Нагорн.(Башкир)", "1:10"
9.984025559105431, 60.57377049180329, 30, "Нагорн.(Башкир)", "1:10"
15.015974440894567, 63.85245901639345, 30, "Нагорн.(Башкир)", "1:10"
20.047923322683705, 66.47540983606558, 30, "Нагорн.(Башкир)", "1:10"
1.2048192771084354, 60.30971712938711, 30, "Хохряковское", "1:20"
5.1355421686747, 62.14592063907804, 30, "Хохряковское", "1:20"
10.06024096385542, 64.15597171293871, 30, "Хохряковское", "1:20"
15.03012048192771, 65.1882530120482, 30, "Хохряковское", "1:20"
19.909638554216865, 66.79020429544263, 30, "Хохряковское", "1:20"
0.707831325301207, 67.88583682556312, 30, "Усинское", "1:20"
5.090361445783133, 69.1562991094814, 30, "Усинское", "1:20"
10.06024096385542, 70.51466736511262, 30, "Усинское", "1:20"
14.984939759036141, 71.54645756940806, 30, "Усинское", "1:20"
22.62048192771084, 73.015322158198, 30, "Усинское", "1:20"
0.6626506024096406, 61.77121529596647, 30, "Правдинское", "1:20"
5.225903614457831, 63.77733761131482, 30, "Правдинское", "1:20"
9.924698795180722, 65.29580277632267, 30, "Правдинское", "1:20"
15.03012048192771, 66.49260083813515, 30, "Правдинское", "1:20"
